threshold,score,feasible,precision,recall,f1,worst_group_sensitivity,macro_avg_fnr,fnr_gap,method,epsilon,clipping
0.025,1.2718176522265716,False,0.3478614243624911,0.650332383665717,0.4532697908392904,0.6485507246376812,0.34976275346684804,0.0033730437909416655,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.03,1.1337274472826162,False,0.3667409928412158,0.5935422602089269,0.45335847961700276,0.5917874396135265,0.4065514438034489,0.0033222331660491267,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.04,0.9344638207739874,False,0.4032162001191185,0.5143399810066477,0.45204907770636843,0.5096618357487923,0.4859098228663446,0.008856682769726287,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.05,0.7428682621472066,False,0.43201915991156964,0.4453941120607787,0.43860469466005797,0.4335748792270531,0.5552370120225756,0.02237621750074259,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.07,0.4927152952209916,False,0.47019038076152303,0.3565052231718898,0.4055309495516906,0.3365539452495974,0.6445601363288151,0.037771836843174866,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.1,0.2573874860390125,False,0.5073787772312017,0.27426400759734093,0.35605967205030203,0.24798711755233493,0.7271391273079749,0.04974751027938029,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.12,0.1845260724769389,False,0.5247195679268799,0.23988603988603988,0.32924921793534934,0.2210144927536232,0.7611216640870504,0.035727686318652974,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.15,0.09991127943942375,False,0.5370553359683794,0.20645773979107312,0.29825764851145564,0.19082125603864733,0.7943772180792021,0.029603051764301225,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.18,0.04909042281697652,False,0.5460562603419746,0.18803418803418803,0.2797400395591975,0.17270531400966183,0.8127843440739178,0.029020683832840843,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.2,0.018369862523490044,False,0.5514184397163121,0.1772079772079772,0.26821905993962913,0.16183574879227053,0.8236128699404344,0.02910276253459021,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
0.22,-0.013250105885645836,False,0.5623003194888179,0.1671415004748338,0.25768667642752563,0.1501610305958132,0.8337652236449198,0.03214749151853413,DP-SGD MLP ε=1.0 [adaptive],1.0,adaptive
