threshold,score,precision,recall,f1,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,method
0.5900000000000001,-0.0756646915116132,0.6321070234113713,0.1115702479338843,0.18966382338183643,0.8884297520661157,0.006738055480979277,0.011086215417750234,0.10412926391382406,0.8903276283773008,Oracle (train on target)
0.6000000000000001,-0.11358342311784314,0.6212121212121212,0.09681227863046045,0.1675178753830439,0.9031877213695395,0.005040241075957144,0.010497245420481915,0.08976660682226212,0.9049847704674969,Oracle (train on target)
0.6100000000000001,-0.14655470726831654,0.6297872340425532,0.08736717827626919,0.1534473820632452,0.9126328217237308,0.005904707394622809,0.017823842705535498,0.07540394973070018,0.9156841289165321,Oracle (train on target)
0.6200000000000001,-0.1655576419083344,0.6255924170616114,0.07792207792207792,0.13858267716535433,0.922077922077922,0.005271665818291794,0.014451081541554056,0.06822262118491922,0.9245518380443039,Oracle (train on target)
0.63,-0.19817511359579218,0.6043956043956044,0.06493506493506493,0.11727078891257996,0.935064935064935,0.00421291587327342,0.01115095474720873,0.05745062836624776,0.936973894260148,Oracle (train on target)
0.64,-0.2143532704461546,0.5950920245398773,0.05726092089728453,0.10446957458266021,0.9427390791027155,0.0033645105777350796,0.007741876398408953,0.05206463195691203,0.9440644298438835,Oracle (train on target)
0.65,-0.22136676994337098,0.6041666666666666,0.051357733175914994,0.09466811751904244,0.948642266824085,0.0018750331943020587,0.0042964808647910635,0.04847396768402154,0.9493777918835828,Oracle (train on target)
0.66,-0.22524811705740222,0.6074074074074074,0.048406139315230225,0.0896664844177146,0.9515938606847698,0.0012369725482437553,0.002573783097982174,0.0466786355475763,0.9520344729034326,Oracle (train on target)
0.67,-0.26617137336179436,0.5904761904761905,0.03659976387249114,0.0689271817676487,0.9634002361275089,0.0031702269513823704,0.006382350479781529,0.03231597845601436,0.9644928463040948,Oracle (train on target)
0.68,-0.27921441170012207,0.5952380952380952,0.0295159386068477,0.0562429696287964,0.9704840613931524,0.003177253649000575,0.00385277960679542,0.026929982046678635,0.9711436281499237,Oracle (train on target)
0.6900000000000001,-0.28099430680739845,0.625,0.026564344746162927,0.05096262740656852,0.973435655253837,0.0025401968168877274,0.004804921452245203,0.02333931777378815,0.9742582215000892,Oracle (train on target)
0.7000000000000001,-0.28504713167555606,0.6481481481481481,0.02066115702479339,0.04004576659038902,0.9793388429752066,0.0006230034368764374,0.0013595259186273134,0.019748653500897665,0.9795715835397887,Oracle (train on target)
0.7100000000000001,-0.29142753020916123,0.6595744680851063,0.01829988193624557,0.035611717403790925,0.9817001180637545,0.0004116549734509466,0.0031911752398908755,0.01615798922800718,0.9822464231520474,Oracle (train on target)
0.7200000000000001,-0.29025354275782744,0.6842105263157895,0.015348288075560802,0.03002309468822171,0.9846517119244392,0.0002264056726073594,0.001468477473081875,0.01436265709156194,0.9849031041718972,Oracle (train on target)
0.7300000000000001,-0.30832163987366606,0.6666666666666666,0.012987012987012988,0.025477707006369428,0.987012987012987,0.0012711022223893215,0.005974966406603999,0.008976660682226212,0.9880358561144718,Oracle (train on target)
0.7400000000000001,-0.3115875173780389,0.6551724137931034,0.011216056670602124,0.022054556006964595,0.9887839433293979,0.0004176778571236936,0.0033364439791633282,0.008976660682226212,0.989355117328192,Oracle (train on target)
0.75,-0.3115875173780389,0.6551724137931034,0.011216056670602124,0.022054556006964595,0.9887839433293979,0.0004176778571236936,0.0033364439791633282,0.008976660682226212,0.989355117328192,Oracle (train on target)
0.05,1.4182920684656495,0.29512945862755746,0.9622195985832349,0.4517112373562422,0.037780401416765086,0.013537708635884327,0.01616588426818504,0.9569041336851363,0.035012924180771156,Naive transfer
